,codigo_estacion,institucion,fuente,nombre,altura,latitud,longitud,codigo_cuenca,nombre_sub_cuenca,cantidad_observaciones,fecha,caudal,gauge_id,gauge_name,precip_promedio,temp_max_promedio
21,4540001,DGA,dga_web,Rio Grande En Paloma 1,310,-30.6833000183105,-71.0500030517578,45,Rio Grande Bajo (Entre E Paloma Y Rio Hurtado),11575,1963-07-11 00:00:00+00:00,3.86,4540001,Rio Grande En Paloma 1,0.0,
22,4540001,DGA,dga_web,Rio Grande En Paloma 1,310,-30.6833000183105,-71.0500030517578,45,Rio Grande Bajo (Entre E Paloma Y Rio Hurtado),11575,1963-07-17 00:00:00+00:00,2.4,4540001,Rio Grande En Paloma 1,0.0,
23,4540001,DGA,dga_web,Rio Grande En Paloma 1,310,-30.6833000183105,-71.0500030517578,45,Rio Grande Bajo (Entre E Paloma Y Rio Hurtado),11575,1963-07-23 00:00:00+00:00,6.12,4540001,Rio Grande En Paloma 1,0.0,
24,4540001,DGA,dga_web,Rio Grande En Paloma 1,310,-30.6833000183105,-71.0500030517578,45,Rio Grande Bajo (Entre E Paloma Y Rio Hurtado),11575,1963-07-28 00:00:00+00:00,4.91,4540001,Rio Grande En Paloma 1,0.0,
25,4540001,DGA,dga_web,Rio Grande En Paloma 1,310,-30.6833000183105,-71.0500030517578,45,Rio Grande Bajo (Entre E Paloma Y Rio Hurtado),11575,1963-08-11 00:00:00+00:00,1.67,4540001,Rio Grande En Paloma 1,0.0,
26,4540001,DGA,dga_web,Rio Grande En Paloma 1,310,-30.6833000183105,-71.0500030517578,45,Rio Grande Bajo (Entre E Paloma Y Rio Hurtado),11575,1963-10-25 00:00:00+00:00,9.47,4540001,Rio Grande En Paloma 1,0.0,
27,4540001,DGA,dga_web,Rio Grande En Paloma 1,310,-30.6833000183105,-71.0500030517578,45,Rio Grande Bajo (Entre E Paloma Y Rio Hurtado),11575,1963-10-28 00:00:00+00:00,9.41,4540001,Rio Grande En Paloma 1,0.0,
28,4540001,DGA,dga_web,Rio Grande En Paloma 1,310,-30.6833000183105,-71.0500030517578,45,Rio Grande Bajo (Entre E Paloma Y Rio Hurtado),11575,1963-12-13 00:00:00+00:00,98.1,4540001,Rio Grande En Paloma 1,0.0,
29,4540001,DGA,dga_web,Rio Grande En Paloma 1,310,-30.6833000183105,-71.0500030517578,45,Rio Grande Bajo (Entre E Paloma Y Rio Hurtado),11575,1963-12-24 00:00:00+00:00,94.9,4540001,Rio Grande En Paloma 1,0.0,
30,4540001,DGA,dga_web,Rio Grande En Paloma 1,310,-30.6833000183105,-71.0500030517578,45,Rio Grande Bajo (Entre E Paloma Y Rio Hurtado),11575,1963-12-25 00:00:00+00:00,98.1,4540001,Rio Grande En Paloma 1,0.0,
